timestamp,value
19/02/2020 11:48:55,u43157472
19/02/2020 11:49:00,u43157472
19/02/2020 11:49:05,u43157472
19/02/2020 11:49:10,u43157472
19/02/2020 11:49:15,u45684704
19/02/2020 11:49:20,u45684704
19/02/2020 11:49:25,u45684704
19/02/2020 11:49:30,u45684704
19/02/2020 11:49:35,u45684704
19/02/2020 11:49:40,u45684704
19/02/2020 11:49:45,u43160168
19/02/2020 11:49:50,u43160168
19/02/2020 11:49:55,u43160168
19/02/2020 11:50:00,u43160168
19/02/2020 11:50:05,u43160168
19/02/2020 11:50:10,u43160168
19/02/2020 11:50:15,u45765224
19/02/2020 11:50:20,u45765224
19/02/2020 11:50:25,u45765224
19/02/2020 11:50:30,u45765224
19/02/2020 11:50:35,u45765224
19/02/2020 11:50:40,u45765224
19/02/2020 11:50:45,u43175168
19/02/2020 11:50:50,u43175168
